policy_number;spcode;prod_code;init_pol;commencement_year;ifrs17_group;age_at_entry;gender;mm_age_at_entry;mm_gender;sum_assured;annual_premium;premium_status;waiting_period;duration_if_m;sa_escalation;prem_escalation;prem_freq;temp_pw_ind;temp_pw_mth_exit;distribution;tax_class;education;plan;continuity_or_premium_waiver_option;prem_waiver_ind;comm_type;cashback_ind;repatriation;tombstone;cow_benefit;educator_option;paidup_option;paidup_ind;member_type;term;food;cashback_option;Weighting
10022;1;FUN_01;1;0;NULL;66;F;42;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;C;0;0;3;0;0;0;0;0;0;0;PAR;54;0;0;0.01
10026;1;FUN_01;1;0;NULL;35;M;35;M;10000;1140;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;85;0;0;0.01
10026;1;FUN_01;1;0;NULL;28;M;35;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;92;0;0;0.01
10026;1;FUN_01;1;0;NULL;5;M;35;M;5000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;115;0;0;0.01
10028;1;FUN_01;1;0;NULL;47;M;47;M;10000;1860;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;73;0;0;0.01
10028;1;FUN_01;1;0;NULL;52;M;47;M;10000;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;SP;68;0;0;0.01
10028;1;FUN_01;1;0;NULL;14;M;47;M;7500;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;106;0;0;0.01
10028;1;FUN_01;1;0;NULL;8;M;47;M;7500;0;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;CH;112;0;0;0.01
10028;1;FUN_01;1;0;NULL;73;M;47;M;10000;0;0;9;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;PAR;47;0;0;0.01
10030;1;FUN_01;1;0;NULL;54;M;54;M;20000;1980;0;6;34;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;MM;66;0;0;0.01
10030;1;FUN_01;1;0;NULL;19;M;54;M;10000;0;0;6;34;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;CH;101;0;0;0.01
10030;1;FUN_01;1;0;NULL;15;F;54;M;10000;0;0;6;34;0;0;12;0;0;NULL;NULL;NULL;D;0;0;3;0;0;0;0;0;0;0;CH;105;0;0;0.01
10037;1;FUN_01;1;0;NULL;39;F;39;F;10000;1860;0;6;80;0;0;12;0;0;NULL;NULL;NULL;B;0;0;3;0;0;0;0;0;0;0;MM;81;0;0;0.01
