"yield_curve_code";"proj_time";"month";"nominal_rate";"inflation";"basis"
"YC202112";462;12;0.09691521;0.08605467;"IFRS"
"YC202112";463;12;0.09691521;0.08605467;"IFRS"
"YC202112";464;12;0.09691521;0.08605467;"IFRS"
"YC202112";465;12;0.09691521;0.08605467;"IFRS"
"YC202112";466;12;0.09691521;0.08605467;"IFRS"
"YC202112";467;12;0.09691521;0.08605467;"IFRS"
"YC202112";468;12;0.09691521;0.08605467;"IFRS"
"YC202112";469;12;0.09691521;0.08605467;"IFRS"
"YC202112";470;12;0.09691521;0.08605467;"IFRS"
"YC202112";471;12;0.09691521;0.08605467;"IFRS"
"YC202112";472;12;0.09691521;0.08605467;"IFRS"
"YC202112";473;12;0.09691521;0.08605467;"IFRS"
"YC202112";474;12;0.09691521;0.08605467;"IFRS"
"YC202112";475;12;0.09691521;0.08605467;"IFRS"
"YC202112";476;12;0.09691521;0.08605467;"IFRS"
