policy_number,spcode,product_code,initial_policy,commencement_year,commencement_month,ifrs17_group,age_at_entry,gender,main_member_age_at_entry,main_member_gender,sum_assured,annual_premium,premium_status,premium_pattern,waiting_period,duration_in_force_months,sum_assured_escalation,premium_escalation,interest_percentage,income,education_level,socio_economic_class,occupational_class,smoker_status,select_period,current_loan,premium_frequency,premium_rate,temporary_premium_waiver_indicator,temporary_premium_waiver_month_exit,distribution,tax_class,education,plan,continuity_or_premium_waiver_option,premium_waiver_indicator,commission_type,cashback_indicator,funeral_service_indicator,repatriation,tombstone,cow_benefit,educator_option,paidup_option,paidup_indicator,member_type,term,original_term,outstanding_term_months,food,cashback_option,premium_holiday_used,disability_definition,deferred_period
10872,1,FUN_01,1,2021,12,1,40,M,38,F,50000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,960,0,0,0,0,0,0,0
10872,1,FUN_01,1,2021,12,1,14,F,38,F,25000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,120,0,0,0,0,0,0,0
10872,1,FUN_01,1,2021,12,1,10,F,38,F,15000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,180,0,0,0,0,0,0,0
10872,1,FUN_01,1,2021,12,1,64,F,38,F,10000,0,0,1,6,3,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,672,0,0,0,0,0,0,0
10968,1,FUN_01,1,2021,12,1,30,F,30,F,50000,1380,0,1,6,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,1080,0,0,0,0,0,0,0
11018,1,FUN_01,1,2021,12,1,39,F,39,F,50000,2340,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,972,0,0,0,0,0,0,0
11018,1,FUN_01,1,2021,12,1,35,M,39,F,50000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,SP,1020,0,0,0,0,0,0,0
11018,1,FUN_01,1,2021,12,1,8,F,39,F,15000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,204,0,0,0,0,0,0,0
11018,1,FUN_01,1,2021,12,1,1,M,39,F,10000,0,0,1,6,6,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,CH,276,0,0,0,0,0,0,0
11059,1,FUN_01,1,2021,12,1,46,F,46,F,50000,2940,0,1,6,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,1,1,0,0,0,MM,888,0,0,0,0,0,0,0
11059,1,FUN_01,1,2021,12,1,68,F,46,F,4000,0,0,1,6,5,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,PAR,624,0,0,0,0,0,0,0
11082,1,FUN_01,1,2021,12,1,57,M,57,M,50000,5460,0,1,6,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0,,,,D,0,0,1,0,0,0,0,0,0,0,0,MM,756,0,0,0,0,0,0,0
